Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
2.712933404,0.223823529,Abim,UG3064,113400,55200,58200,78800,34600,120700,58900,61800,83900,36800,128200,62700,65500,89100,39100,136200,66700,69500,94700,41500,144600,71000,73600,172900,44100,307
2.711109817,0.253353215,Adjumani,UG3065,226500,108800,117700,167100,59400,228600,109700,118900,168700,59900,230500,110500,120000,170100,60400,232400,111200,121200,171500,60900,234300,112000,122300,177200,61400,206
3.132891013,0.285815844,Agago,UG3066,230800,112000,118800,165400,65400,234900,114000,120900,168400,66500,239000,116000,123000,171300,67700,243200,118000,125200,174300,68900,247200,119900,127300,230000,70000,911
2.87571126,0.126491804,Alebtong,UG3067,232400,113500,118900,206200,26200,239000,116900,122100,212100,26900,245700,120300,125400,218000,27700,252400,123700,128700,224000,28400,259200,127200,132000,135700,29200,618
1.88979405,0.145958766,Amolatar,UG3068,150100,74600,75500,122700,27400,154000,76600,77400,125900,28100,158000,78700,79300,129200,28800,162000,80800,81200,132400,29600,166000,82900,83100,111600,30300,433
2.82592117,0.132668001,Amudat,UG3069,109400,56000,53400,94300,15100,114200,58300,55900,98500,15700,119100,60600,58500,102700,16400,124300,63100,61200,107200,17100,129400,65500,63900,191600,17800,150
2.659590063,0.112382613,Amuria,UG2027,188600,92200,96400,166200,22400,195600,95800,99800,172300,23300,202600,99400,103200,178500,24100,210000,103200,106800,185000,25000,217500,107100,110400,153100,25900,650
4.619184698,0.292045432,Amuru,UG3070,190500,93200,97300,138000,52500,195700,95800,99900,141700,54000,200900,98400,102500,145500,55400,206100,101000,105100,149200,56900,211400,103600,107800,132400,58300,67
2.309675522,0.145564552,Apac,UG3071,190500,94000,96500,115100,75400,197400,97500,99900,119300,78100,204500,101100,103400,123600,80900,211700,104800,106900,127900,83800,219000,108500,110500,164200,86600,730
3.163190673,0.188680135,Arua,UG3072,656000,313500,342500,143200,70200,674500,322800,351700,148200,72700,693400,331800,361600,153400,75300,712400,341400,371000,158800,77900,731900,351000,380900,225100,80600,1376
